"No.","Time","Source","Destination","Protocol","Length","Info","RTT","ACK","Retransmisiones","Analisis RTO"
"1912","2021-11-28 18:34:05,768552","PcsCompu_63:b6:65","c2:03:04:38:00:00","ARP","60","10.0.0.1 is at c2:04:04:48:00:00","","","",""
"1913","2021-11-28 18:34:05,861931","PcsCompu_63:b6:65","c2:04:04:48:00:00","ARP","60","10.0.0.3 is at c2:03:04:38:00:00","","","",""
"1914","2021-11-28 18:34:05,877655","PcsCompu_63:b6:65","c2:03:04:38:00:00","ARP","60","10.0.0.1 is at c2:04:04:48:00:00","","","",""
"1915","2021-11-28 18:34:05,940716","PcsCompu_63:b6:65","c2:04:04:48:00:00","ARP","60","10.0.0.3 is at c2:03:04:38:00:00","","","",""
"1916","2021-11-28 18:34:05,947515","PcsCompu_63:b6:65","c2:03:04:38:00:00","ARP","60","10.0.0.1 is at c2:04:04:48:00:00","","","",""
"1917","2021-11-28 18:34:05,984597","PcsCompu_63:b6:65","c2:04:04:48:00:00","ARP","60","10.0.0.3 is at c2:03:04:38:00:00","","","",""
"1918","2021-11-28 18:34:05,991404","PcsCompu_63:b6:65","c2:03:04:38:00:00","ARP","60","10.0.0.1 is at c2:04:04:48:00:00","","","",""
"1919","2021-11-28 18:34:06,035417","PcsCompu_63:b6:65","c2:04:04:48:00:00","ARP","60","10.0.0.3 is at c2:03:04:38:00:00","","","",""
"1920","2021-11-28 18:34:06,046097","PcsCompu_63:b6:65","c2:03:04:38:00:00","ARP","60","10.0.0.1 is at c2:04:04:48:00:00","","","",""
"1921","2021-11-28 18:34:06,102670","PcsCompu_63:b6:65","c2:04:04:48:00:00","ARP","60","10.0.0.3 is at c2:03:04:38:00:00","","","",""
"1922","2021-11-28 18:34:06,116551","PcsCompu_63:b6:65","c2:03:04:38:00:00","ARP","60","10.0.0.1 is at c2:04:04:48:00:00","","","",""
"1923","2021-11-28 18:34:06,165352","PcsCompu_63:b6:65","c2:04:04:48:00:00","ARP","60","10.0.0.3 is at c2:03:04:38:00:00","","","",""
"1924","2021-11-28 18:34:06,175305","PcsCompu_63:b6:65","c2:03:04:38:00:00","ARP","60","10.0.0.1 is at c2:04:04:48:00:00","","","",""
"1925","2021-11-28 18:34:06,439587","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"1926","2021-11-28 18:34:14,844756","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"1927","2021-11-28 18:34:17,217276","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"1928","2021-11-28 18:34:20,883081","c2:03:04:38:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","357","Device ID: Victima  Port ID: FastEthernet0/0  ","","","",""
"1929","2021-11-28 18:34:25,560998","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"1930","2021-11-28 18:34:27,711624","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"1931","2021-11-28 18:34:33,093842","c2:04:04:48:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","357","Device ID: Gateway  Port ID: FastEthernet0/0  ","","","",""
"1932","2021-11-28 18:34:35,816440","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"1933","2021-11-28 18:34:38,057668","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"1934","2021-11-28 18:34:47,121699","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"1935","2021-11-28 18:34:49,084136","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"1936","2021-11-28 18:34:57,956728","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"1937","2021-11-28 18:34:59,851084","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"1938","2021-11-28 18:35:08,752631","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"1939","2021-11-28 18:35:10,634597","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"1940","2021-11-28 18:35:19,348987","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"1941","2021-11-28 18:35:21,243323","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"1942","2021-11-28 18:35:25,200907","c2:03:04:38:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","357","Device ID: Victima  Port ID: FastEthernet0/0  ","","","",""
"1943","2021-11-28 18:35:30,232884","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"1944","2021-11-28 18:35:32,327216","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"1945","2021-11-28 18:35:38,421580","c2:04:04:48:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","357","Device ID: Gateway  Port ID: FastEthernet0/0  ","","","",""
"1946","2021-11-28 18:35:40,642491","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"1947","2021-11-28 18:35:43,310586","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"1948","2021-11-28 18:35:51,567246","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"1949","2021-11-28 18:35:53,714336","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"1950","2021-11-28 18:36:02,508935","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"1951","2021-11-28 18:36:04,715509","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"1952","2021-11-28 18:36:13,483384","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"1953","2021-11-28 18:36:15,717720","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"1954","2021-11-28 18:36:24,175262","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"1955","2021-11-28 18:36:26,431587","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"1956","2021-11-28 18:36:30,009030","c2:03:04:38:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","357","Device ID: Victima  Port ID: FastEthernet0/0  ","","","",""
"1957","2021-11-28 18:36:34,702427","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"1958","2021-11-28 18:36:37,056635","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"1959","2021-11-28 18:36:42,968902","c2:04:04:48:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","357","Device ID: Gateway  Port ID: FastEthernet0/0  ","","","",""
"1960","2021-11-28 18:36:44,824030","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"1961","2021-11-28 18:36:47,548611","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"1962","2021-11-28 18:36:55,510096","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"1963","2021-11-28 18:36:57,875012","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"1964","2021-11-28 18:37:06,431762","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"1965","2021-11-28 18:37:08,681630","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"1966","2021-11-28 18:37:17,081058","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"1967","2021-11-28 18:37:19,399946","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"1968","2021-11-28 18:37:27,778495","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"1969","2021-11-28 18:37:30,077030","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"1970","2021-11-28 18:37:33,600928","c2:03:04:38:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","357","Device ID: Victima  Port ID: FastEthernet0/0  ","","","",""
"1971","2021-11-28 18:37:38,370267","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
